,index,variable,value
51142,MBF,411.4024316869344,1.0
51143,Nrm1,411.4024316869344,0.0
51144,Cdh1,411.4124316869344,1.0
51145,Clb6,411.4124316869344,1.0
51146,MBF,411.4124316869344,1.0
51147,Nrm1,411.4124316869344,0.0
51148,Cdh1,411.4224316869344,1.0
51149,Clb6,411.4224316869344,1.0
51150,MBF,411.4224316869344,1.0
51151,Nrm1,411.4224316869344,0.0
51152,Cdh1,411.43243168693436,1.0
51153,Clb6,411.43243168693436,1.0
51154,MBF,411.43243168693436,1.0
51155,Nrm1,411.43243168693436,0.0
51156,Cdh1,411.44243168693436,1.0
51157,Clb6,411.44243168693436,1.0
51158,MBF,411.44243168693436,1.0
51159,Nrm1,411.44243168693436,0.0
51160,Cdh1,411.45243168693435,1.0
51161,Clb6,411.45243168693435,1.0
51162,MBF,411.45243168693435,1.0
51163,Nrm1,411.45243168693435,0.0
51164,Cdh1,411.46243168693434,1.0
51165,Clb6,411.46243168693434,1.0
51166,MBF,411.46243168693434,1.0
51167,Nrm1,411.46243168693434,0.0
51168,Cdh1,411.4724316869343,1.0
51169,Clb6,411.4724316869343,1.0
51170,MBF,411.4724316869343,1.0
51171,Nrm1,411.4724316869343,0.0
51172,Cdh1,411.4824316869343,1.0
51173,Clb6,411.4824316869343,1.0
51174,MBF,411.4824316869343,1.0
51175,Nrm1,411.4824316869343,0.0
51176,Cdh1,411.4924316869343,1.0
51177,Clb6,411.4924316869343,1.0
51178,MBF,411.4924316869343,1.0
51179,Nrm1,411.4924316869343,0.0
51180,Cdh1,411.5024316869343,1.0
51181,Clb6,411.5024316869343,1.0
51182,MBF,411.5024316869343,1.0
51183,Nrm1,411.5024316869343,0.0
51184,Cdh1,411.5124316869343,1.0
51185,Clb6,411.5124316869343,1.0
51186,MBF,411.5124316869343,1.0
51187,Nrm1,411.5124316869343,0.0
51188,Cdh1,411.5224316869343,1.0
51189,Clb6,411.5224316869343,1.0
51190,MBF,411.5224316869343,1.0
51191,Nrm1,411.5224316869343,0.0
51192,Cdh1,411.5324316869343,1.0
51193,Clb6,411.5324316869343,1.0
51194,MBF,411.5324316869343,1.0
51195,Nrm1,411.5324316869343,0.0
51196,Cdh1,411.54243168693426,1.0
51197,Clb6,411.54243168693426,1.0
51198,MBF,411.54243168693426,1.0
51199,Nrm1,411.54243168693426,0.0
51200,Cdh1,411.55243168693426,1.0
51201,Clb6,411.55243168693426,1.0
51202,MBF,411.55243168693426,1.0
51203,Nrm1,411.55243168693426,0.0
51204,Cdh1,411.56243168693425,1.0
51205,Clb6,411.56243168693425,1.0
51206,MBF,411.56243168693425,1.0
51207,Nrm1,411.56243168693425,0.0
51208,Cdh1,411.57243168693424,1.0
51209,Clb6,411.57243168693424,1.0
51210,MBF,411.57243168693424,1.0
51211,Nrm1,411.57243168693424,0.0
51212,Cdh1,411.5824316869342,1.0
51213,Clb6,411.5824316869342,1.0
51214,MBF,411.5824316869342,1.0
51215,Nrm1,411.5824316869342,0.0
51216,Cdh1,411.5924316869342,1.0
51217,Clb6,411.5924316869342,1.0
51218,MBF,411.5924316869342,1.0
51219,Nrm1,411.5924316869342,0.0
51220,Cdh1,411.6024316869342,1.0
51221,Clb6,411.6024316869342,1.0
51222,MBF,411.6024316869342,1.0
51223,Nrm1,411.6024316869342,0.0
51224,Cdh1,411.6124316869342,1.0
51225,Clb6,411.6124316869342,1.0
51226,MBF,411.6124316869342,1.0
51227,Nrm1,411.6124316869342,0.0
51228,Cdh1,411.6224316869342,1.0
51229,Clb6,411.6224316869342,1.0
51230,MBF,411.6224316869342,1.0
51231,Nrm1,411.6224316869342,0.0
51232,Cdh1,411.6324316869342,1.0
51233,Clb6,411.6324316869342,1.0
51234,MBF,411.6324316869342,1.0
51235,Nrm1,411.6324316869342,0.0
51236,Cdh1,411.6424316869342,1.0
51237,Clb6,411.6424316869342,1.0
51238,MBF,411.6424316869342,1.0
51239,Nrm1,411.6424316869342,0.0
51240,Cdh1,411.65243168693416,1.0
51241,Clb6,411.65243168693416,1.0
51242,MBF,411.65243168693416,1.0
51243,Nrm1,411.65243168693416,0.0
51244,Cdh1,411.66243168693416,1.0
51245,Clb6,411.66243168693416,1.0
51246,MBF,411.66243168693416,1.0
51247,Nrm1,411.66243168693416,0.0
51248,Cdh1,411.67243168693415,1.0
51249,Clb6,411.67243168693415,1.0
51250,MBF,411.67243168693415,1.0
