,index,variable,value
41072,Cdh1,366.37048586050054,1.0
41073,Clb6,366.37048586050054,0.0
41074,MBF,366.37048586050054,1.0
41075,Nrm1,366.37048586050054,0.0
41076,Cdh1,366.3804858605005,1.0
41077,Clb6,366.3804858605005,0.0
41078,MBF,366.3804858605005,1.0
41079,Nrm1,366.3804858605005,0.0
41080,Cdh1,366.3904858605005,1.0
41081,Clb6,366.3904858605005,0.0
41082,MBF,366.3904858605005,1.0
41083,Nrm1,366.3904858605005,0.0
41084,Cdh1,366.4004858605005,1.0
41085,Clb6,366.4004858605005,0.0
41086,MBF,366.4004858605005,1.0
41087,Nrm1,366.4004858605005,0.0
41088,Cdh1,366.4104858605005,1.0
41089,Clb6,366.4104858605005,0.0
41090,MBF,366.4104858605005,1.0
41091,Nrm1,366.4104858605005,0.0
41092,Cdh1,366.4204858605005,1.0
41093,Clb6,366.4204858605005,0.0
41094,MBF,366.4204858605005,1.0
41095,Nrm1,366.4204858605005,0.0
41096,Cdh1,366.4304858605005,1.0
41097,Clb6,366.4304858605005,0.0
41098,MBF,366.4304858605005,1.0
41099,Nrm1,366.4304858605005,0.0
41100,Cdh1,366.4404858605005,1.0
41101,Clb6,366.4404858605005,0.0
41102,MBF,366.4404858605005,1.0
41103,Nrm1,366.4404858605005,0.0
41104,Cdh1,366.45048586050046,1.0
41105,Clb6,366.45048586050046,0.0
41106,MBF,366.45048586050046,1.0
41107,Nrm1,366.45048586050046,0.0
41108,Cdh1,366.46048586050046,1.0
41109,Clb6,366.46048586050046,0.0
41110,MBF,366.46048586050046,1.0
41111,Nrm1,366.46048586050046,0.0
41112,Cdh1,366.47048586050045,1.0
41113,Clb6,366.47048586050045,0.0
41114,MBF,366.47048586050045,1.0
41115,Nrm1,366.47048586050045,0.0
41116,Cdh1,366.48048586050044,1.0
41117,Clb6,366.48048586050044,0.0
41118,MBF,366.48048586050044,1.0
41119,Nrm1,366.48048586050044,0.0
41120,Cdh1,366.4904858605004,1.0
41121,Clb6,366.4904858605004,0.0
41122,MBF,366.4904858605004,1.0
