,cln3,whi5,sbf,cln2,mbf,clb5,ori,clb2G,cdc5,mcm1,clb2M,sac,cdc20,spoc,cdc14,swi5,cdh1,sic1,nrm1,time,cell_size,critical_size,divide status,SPN_p,SPO_p
107,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,93.0339988316122,0.7952673482230105,0.6133950833552992,,0.0,0.48397049735769043
108,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,93.69633014974104,0.7993335327076498,0.6133950833552992,,0.0,0.5557012951837434
109,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,95.49068256020078,0.8104541827006337,0.6133950833552992,,0.0,0.6227012869831644
110,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,96.45629551874472,0.8165025452597214,0.6133950833552992,,0.0,0.6917929511813724
111,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,96.70237855122492,0.8180511531301542,0.6133950833552992,,0.0,0.7632552048289706
112,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,97.04163333959596,0.8201909105521292,0.6133950833552992,,0.0,0.8329396120565482
113,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,97.78146728650835,0.8248766436431014,0.6133950833552992,,0.0,0.9028409674537947
114,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,98.3978969331853,0.8288012341441002,0.6133950833552992,,0.0,0.9675572991166227
115,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,98.86079245500767,0.8317605975581475,0.6133950833552992,,0.0,1.0
116,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,100.23616150448431,0.84061603477074,0.6133950833552992,,0.0,1.0
117,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,100.69959115747713,0.8436210544097463,0.6133950833552992,,0.0,0.0
118,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,101.83048487310027,0.8509992844297692,0.6133950833552992,,0.0,0.0
119,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,102.13833883299698,0.8530189502149303,0.6133950833552992,,0.0,0.0
