,cdh1_K_Theta,cdc5_K_Theta,Mean_Time
198,20.3,26.4,58.77274356485379
199,20.3,28.0,60.364513792036384
200,20.3,22.950000000000003,55.228163164339264
201,20.3,24.65,57.01003171221575
202,20.3,25.5,57.874132186738635
203,20.3,28.049999999999997,60.50979387061073
204,20.3,29.75,62.180643319615285
205,20.3,24.3,56.73780253337773
206,20.3,26.099999999999998,58.4789822141252
207,20.3,27.0,59.40502883841612
208,20.3,29.7,62.100576159240234
209,20.3,31.5,63.906776540287986
210,21.0,17.55,50.60827535831291
211,21.0,18.849999999999998,52.01773681164116
212,21.0,19.5,52.62295997406957
213,21.0,21.45,54.41344529287734
214,21.0,22.75,55.87130919339775
215,21.0,18.900000000000002,52.059593732365784
216,21.0,20.3,53.3009259700043
217,21.0,21.0,54.15593671248603
218,21.0,23.099999999999998,56.19817751770703
219,21.0,24.5,57.55067900720701
220,21.0,20.25,53.30713349401351
221,21.0,21.75,54.85314616943317
222,21.0,22.5,55.502262807043564
223,21.0,24.75,57.7540359373717
224,21.0,26.25,59.351653037318684
225,21.0,21.6,54.730182903854484
226,21.0,23.2,56.312272856101046
227,21.0,24.0,57.032408078691375
228,21.0,26.4,59.340196424578366
229,21.0,28.0,61.077347348003094
230,21.0,22.950000000000003,55.94921837468111
231,21.0,24.65,57.863625096704006
232,21.0,25.5,58.53271472817455
233,21.0,28.049999999999997,61.195924683380355
234,21.0,29.75,62.77734446376404
235,21.0,24.3,57.31562950238956
236,21.0,26.099999999999998,59.19306704187789
237,21.0,27.0,59.991738763830675
238,21.0,29.7,62.793297489179615
239,21.0,31.5,64.62719810208617
240,23.099999999999998,17.55,52.704826378840814
241,23.099999999999998,18.849999999999998,54.15942290683795
242,23.099999999999998,19.5,54.72405494645608
243,23.099999999999998,21.45,56.64391313930191
244,23.099999999999998,22.75,57.901448140275804
245,23.099999999999998,18.900000000000002,54.11093544300937
246,23.099999999999998,20.3,55.32582712661724
247,23.099999999999998,21.0,56.20889768867728
248,23.099999999999998,23.099999999999998,58.206133395149266
249,23.099999999999998,24.5,59.68873286006463
250,23.099999999999998,20.25,55.430573143635726
251,23.099999999999998,21.75,57.00057234240943
252,23.099999999999998,22.5,57.68978148290745
253,23.099999999999998,24.75,59.910019157885266
254,23.099999999999998,26.25,61.327965579485145
255,23.099999999999998,21.6,56.754924591467656
256,23.099999999999998,23.2,58.44587479316939
